Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
43.63,45.02,43.62,45.02,5225000.0,0.0,1.0,43.63,45.02,43.62,45.02,5225000.0
44.92,45.05,44.3,44.65,4457700.0,0.0,1.0,44.92,45.05,44.3,44.65,4457700.0
44.54,45.86,44.28,45.86,6528500.0,0.0,1.0,44.54,45.86,44.28,45.86,6528500.0
45.9,46.07,44.68,45.01,5929200.0,0.0,1.0,45.9,46.07,44.68,45.01,5929200.0
45.67,46.05,45.15,45.95,4624800.0,0.0,1.0,45.67,46.05,45.15,45.95,4624800.0
46.12,46.96,45.86,46.93,5475900.0,0.0,1.0,46.12,46.96,45.86,46.93,5475900.0
46.88,47.0,46.04,46.17,11438700.0,0.0,1.0,46.88,47.0,46.04,46.17,11438700.0
41.0,41.1,39.48,39.75,30104700.0,0.0,1.0,41.0,41.1,39.48,39.75,30104700.0
39.64,39.9,38.86,39.06,8770300.0,0.0,1.0,39.64,39.9,38.86,39.06,8770300.0
39.55,39.65,38.72,38.95,6159200.0,0.0,1.0,39.55,39.65,38.72,38.95,6159200.0
39.35,40.39,39.12,39.86,6780600.0,0.0,1.0,39.35,40.39,39.12,39.86,6780600.0
39.97,40.74,39.65,40.37,5383000.0,0.0,1.0,39.97,40.74,39.65,40.37,5383000.0
40.29,41.23,39.8,40.75,4861800.0,0.0,1.0,40.29,41.23,39.8,40.75,4861800.0
40.89,42.0001,40.85,41.56,7000000.0,0.0,1.0,40.89,42.0001,40.85,41.56,7000000.0
41.49,41.8,40.91,41.09,4445400.0,0.0,1.0,41.49,41.8,40.91,41.09,4445400.0
41.08,41.47,40.55,41.39,3386100.0,0.0,1.0,41.08,41.47,40.55,41.39,3386100.0
41.28,42.11,41.03,41.95,4950800.0,0.0,1.0,41.28,42.11,41.03,41.95,4950800.0
41.79,42.0,41.28,41.4,3471600.0,0.0,1.0,41.79,42.0,41.28,41.4,3471600.0
41.47,42.45,40.86,42.18,5585500.0,0.0,1.0,41.47,42.45,40.86,42.18,5585500.0
42.37,43.04,42.25,42.68,3982200.0,0.0,1.0,42.37,43.04,42.25,42.68,3982200.0
42.52,43.0,42.34,42.53,3103100.0,0.0,1.0,42.52,43.0,42.34,42.53,3103100.0
45.46,45.65,44.43,44.45,21277900.0,0.0,1.0,45.46,45.65,44.43,44.45,21277900.0
44.35,45.4,44.24,45.3,7967000.0,0.0,1.0,44.35,45.4,44.24,45.3,7967000.0
45.43,46.76,45.36,46.74,11687600.0,0.0,1.0,45.43,46.76,45.36,46.74,11687600.0
46.9,48.0,46.66,47.98,59332800.0,0.0,1.0,46.9,48.0,46.66,47.98,59332800.0
47.57,48.31,47.28,47.99,17869900.0,0.0,1.0,47.57,48.31,47.28,47.99,17869900.0
47.5,49.01,47.34,48.85,12990700.0,0.0,1.0,47.5,49.01,47.34,48.85,12990700.0
48.64,48.96,48.09,48.24,7483200.0,0.0,1.0,48.64,48.96,48.09,48.24,7483200.0
48.05,48.48,47.62,48.06,2695800.0,0.0,1.0,48.05,48.48,47.62,48.06,2695800.0
48.15,49.12,47.62,48.35,10670900.0,0.0,1.0,48.15,49.12,47.62,48.35,10670900.0
48.31,49.43,48.12,48.55,10384400.0,0.0,1.0,48.31,49.43,48.12,48.55,10384400.0
48.48,48.68,47.55,48.46,7925600.0,0.0,1.0,48.48,48.68,47.55,48.46,7925600.0
48.88,49.4,48.63,49.0,7866700.0,0.0,1.0,48.88,49.4,48.63,49.0,7866700.0
48.92,49.53,48.4,49.06,6451600.0,0.0,1.0,48.92,49.53,48.4,49.06,6451600.0
48.86,49.35,48.75,48.83,5250900.0,0.0,1.0,48.86,49.35,48.75,48.83,5250900.0
49.06,49.9,49.06,49.26,9581400.0,0.0,1.0,49.06,49.9,49.06,49.26,9581400.0
49.31,49.47,48.29,48.83,6796800.0,0.0,1.0,49.31,49.47,48.29,48.83,6796800.0
48.83,49.1,47.86,48.35,7144000.0,0.0,1.0,48.83,49.1,47.86,48.35,7144000.0
48.65,49.04,48.25,48.74,4709000.0,0.0,1.0,48.65,49.04,48.25,48.74,4709000.0
49.15,49.3,48.64,49.07,3424300.0,0.0,1.0,49.15,49.3,48.64,49.07,3424300.0
48.54,49.67,48.48,49.5,5812800.0,0.0,1.0,48.54,49.67,48.48,49.5,5812800.0
49.2,49.6,48.79,49.41,4965900.0,0.0,1.0,49.2,49.6,48.79,49.41,4965900.0
49.5,49.95,49.05,49.48,5820500.0,0.0,1.0,49.5,49.95,49.05,49.48,5820500.0
49.4,49.92,49.21,49.21,5626500.0,0.0,1.0,49.4,49.92,49.21,49.21,5626500.0
48.99,50.001000000000005,48.32,48.37,8308700.0,0.0,1.0,48.99,50.001000000000005,48.32,48.37,8308700.0
48.46,48.6,47.68,48.14,5535200.0,0.0,1.0,48.46,48.6,47.68,48.14,5535200.0
48.29,49.06,47.78,48.97,7322500.0,0.0,1.0,48.29,49.06,47.78,48.97,7322500.0
48.9,49.28,48.36,49.22,4421800.0,0.0,1.0,48.9,49.28,48.36,49.22,4421800.0
49.085,49.39,48.72,49.22,3206500.0,0.0,1.0,49.085,49.39,48.72,49.22,3206500.0
48.9,49.1,48.36,48.56,5818700.0,0.0,1.0,48.9,49.1,48.36,48.56,5818700.0
48.49,48.55,47.9,48.06,4531800.0,0.0,1.0,48.49,48.55,47.9,48.06,4531800.0
48.0,48.46,47.97,47.99,3171100.0,0.0,1.0,48.0,48.46,47.97,47.99,3171100.0
47.73,48.1999,47.14,47.15,5401100.0,0.0,1.0,47.73,48.1999,47.14,47.15,5401100.0
47.47,47.85,46.25,47.58,7582200.0,0.0,1.0,47.47,47.85,46.25,47.58,7582200.0
47.485,47.73,46.69,47.25,7440900.0,0.0,1.0,47.485,47.73,46.69,47.25,7440900.0
47.16,48.2,47.11,47.65,5417200.0,0.0,1.0,47.16,48.2,47.11,47.65,5417200.0
47.97,48.58,47.32,47.87,6152900.0,0.0,1.0,47.97,48.58,47.32,47.87,6152900.0
46.55,47.1,46.4,47.08,8943100.0,0.0,1.0,46.55,47.1,46.4,47.08,8943100.0
46.5,46.75,45.36,45.651,9686100.0,0.0,1.0,46.5,46.75,45.36,45.651,9686100.0
45.65,45.7,44.26,44.93,8497200.0,0.0,1.0,45.65,45.7,44.26,44.93,8497200.0
44.65,45.09,44.09,44.36,5818300.0,0.0,1.0,44.65,45.09,44.09,44.36,5818300.0
44.475,44.85,44.0,44.4,4432200.0,0.0,1.0,44.475,44.85,44.0,44.4,4432200.0
